epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6474.03,0.63637,0.44044,1,1.09436,0.00999442,0.00333147,0.00999442,0.00333147,0.00999442,0.00333147,0.00999442,0.00333147
2,11693.1,0.36695,0.69574,1,0.88121,0.0190047,0.0063349,0.0190047,0.0063349,0.0190047,0.0063349,0.0190047,0.0063349
3,14246.5,0.31622,0.64744,1,0.96626,0.027025,0.00900832,0.027025,0.00900832,0.027025,0.00900832,0.027025,0.00900832
4,17043.3,0.28301,0.50292,1,1.29518,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,19641.5,0.24271,0.64638,1,0.81709,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,22077.6,0.21969,0.64916,1,1.11434,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,24667.8,0.20204,0.66526,1,1.07349,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,27482.6,0.19015,0.59569,1,0.95807,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,30385.6,0.18188,0.55918,1,0.86461,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,51877.3,0.1701,0.59741,1,0.94349,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,54318,0.16125,0.59923,1,1.07698,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
