epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45881.2,0.17532,0.54517,1,1.56697,0.00999715,0.00333238,0.00999715,0.00333238,0.00999715,0.00333238,0.00999715,0.00333238
2,52500,0.16972,0.62631,1,1.22544,0.0197992,0.00659972,0.0197992,0.00659972,0.0197992,0.00659972,0.0197992,0.00659972
3,55807.4,0.20613,0.50992,1,1.23602,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107,0.0294032,0.00980107
4,58986.7,0.23258,0.46641,1,1.17457,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,62234.1,0.20975,0.50251,1,1.47586,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,67638.2,0.19373,0.44129,1,1.58175,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,71836.6,0.18288,0.40255,1,1.50709,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,74959.6,0.18215,0.54517,1,1.25231,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,94900.4,0.17379,0.50098,1,1.06775,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,97416.9,0.16982,0.56611,1,1.10577,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,100573,0.16711,0.54994,1,1.14029,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,105361,0.16611,0.49774,1,1.28349,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,132411,0.16144,0.48046,1,1.32613,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,135383,0.1563,0.47331,1,1.33893,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,138698,0.15602,0.44887,1,1.46192,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,141389,0.15635,0.45475,1,1.36882,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,144726,0.14992,0.43644,1,1.36473,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,147737,0.15211,0.42878,1,1.41345,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,151245,0.15094,0.43516,1,1.39565,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,154316,0.1481,0.43074,1,1.407,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,157182,0.14374,0.43559,1,1.41384,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,160277,0.14551,0.4401,1,1.41794,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,163694,0.14196,0.44206,1,1.42176,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,166798,0.14197,0.44615,1,1.41521,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,169002,0.13981,0.43252,1,1.45557,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,176947,0.13781,0.42605,1,1.50442,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,182060,0.13786,0.42563,1,1.51809,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,186907,0.13799,0.43448,1,1.49216,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,251447,0.13118,0.44802,1,1.44122,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,256466,0.133,0.45619,1,1.41598,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,261625,0.1327,0.46897,1,1.36331,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,315372,0.1311,0.47518,1,1.34456,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,318956,0.12996,0.47833,1,1.32634,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,322237,0.12696,0.47833,1,1.3403,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,328053,0.12689,0.47756,1,1.36861,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,426557,0.12572,0.48157,1,1.3631,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,429860,0.12751,0.48625,1,1.36103,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,433196,0.12276,0.49008,1,1.36129,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,436385,0.12106,0.49621,1,1.34223,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,439698,0.12119,0.50711,1,1.2892,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,443029,0.11831,0.52448,1,1.24502,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,484626,0.1201,0.53836,1,1.19663,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,489191,0.12143,0.55453,1,1.17901,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,494306,0.11733,0.55709,1,1.21415,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,498039,0.11521,0.55956,1,1.2116,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,501396,0.11502,0.55811,1,1.21676,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,504826,0.11508,0.55564,1,1.23526,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,508616,0.11441,0.55062,1,1.26323,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,513543,0.1123,0.54134,1,1.27892,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,521726,0.10999,0.53589,1,1.27503,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,526882,0.10677,0.52703,1,1.30051,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,567547,0.107,0.5232,1,1.31576,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,570611,0.10862,0.51128,1,1.36207,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,573138,0.10489,0.5066,1,1.3832,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,575819,0.10361,0.51341,1,1.37971,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,578006,0.10227,0.5255,1,1.35869,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,580780,0.10221,0.53521,1,1.33469,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,583685,0.10459,0.53231,1,1.33629,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,586237,0.10033,0.53836,1,1.29893,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,589090,0.1016,0.54338,1,1.27217,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,591976,0.09822,0.54738,1,1.26158,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,594694,0.09584,0.55104,1,1.23865,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,598104,0.09661,0.55377,1,1.21766,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
